,LOCATION,TIME,GDPMLNUSD
0,AUS,1960,25071.833
1,AUS,1961,25363.455
2,AUS,1962,27953.904
3,AUS,1963,30431.547
4,AUS,1964,32742.466
5,AUS,1965,34538.087
6,AUS,1966,38340.322
7,AUS,1967,41063.061
8,AUS,1968,46555.241
9,AUS,1969,52208.329
10,AUS,1970,58911.123
11,AUS,1971,64192.384
12,AUS,1972,69871.924
13,AUS,1973,78914.75
14,AUS,1974,86394.431
15,AUS,1975,96933.513
16,AUS,1976,104370.768
17,AUS,1977,110361.996
18,AUS,1978,123440.344
19,AUS,1979,138091.009
20,AUS,1980,155157.89
21,AUS,1981,178430.317
22,AUS,1982,182041.004
23,AUS,1983,196746.258
24,AUS,1984,212020.678
25,AUS,1985,229153.081
26,AUS,1986,240014.679
27,AUS,1987,261085.322
28,AUS,1988,283190.956
29,AUS,1989,299886.891
30,AUS,1990,304408.929
31,AUS,1991,314181.011
32,AUS,1992,334849.617
33,AUS,1993,355957.486
34,AUS,1994,381621.283
35,AUS,1995,404071.671
36,AUS,1996,424444.69
37,AUS,1997,450947.394
38,AUS,1998,478369.09
39,AUS,1999,510551.679
40,AUS,2000,538759.74
41,AUS,2001,569498.285
42,AUS,2002,600598.648
43,AUS,2003,638782.783
44,AUS,2004,677715.264
45,AUS,2005,719487.043
46,AUS,2006,775886.237
47,AUS,2007,826594.305
48,AUS,2008,852737.657
49,AUS,2009,903956.56
50,AUS,2010,943323.0
51,AUS,2011,992802.546
52,AUS,2012,997651.363
53,AUS,2013,1104672.434
54,AUS,2014,1117601.897
55,AUS,2015,1124752.51
56,AUS,2016,1212854.276
57,AUS,2017,1247085.553
58,AUS,2018,1323863.624
59,AUS,2019,1337588.806
60,AUS,2020,1430866.404
61,AUS,2021,1595112.956
62,AUT,1970,28594.177
63,AUT,1971,31579.835
64,AUT,1972,34990.129
65,AUT,1973,38711.33
66,AUT,1974,43858.904
67,AUT,1975,47747.762
68,AUT,1976,52681.195
69,AUT,1977,58796.949
70,AUT,1978,62800.056
71,AUT,1979,71653.406
72,AUT,1980,79478.652
73,AUT,1981,86873.502
74,AUT,1982,94095.976
75,AUT,1983,100688.645
76,AUT,1984,104374.685
77,AUT,1985,110365.942
78,AUT,1986,115179.71
79,AUT,1987,119629.722
80,AUT,1988,127931.5
81,AUT,1989,138114.602
82,AUT,1990,149511.327
